Date,Open,High,Low,Close,Volume,RSI,MACD,MACDSig,MACDHist,Split,Dividend
06/11/2020,349.31,351.06,335.48,335.981,50424541,65.09,11.56,10.42,1.14,/,/
06/12/2020,344.72,347.8,334.2233,338.8,50037720,65.51,11.33,10.6,0.73,/,/
06/15/2020,333.25,345.68,332.58,342.99,35003230,69.83,11.36,10.75,0.61,/,/
06/16/2020,351.46,353.2,344.72,352.08,41357200,72.98,11.98,11.0,0.98,/,/
06/17/2020,355.19,355.4,351.09,351.59,28601908,72.45,12.29,11.26,1.03,/,/
06/18/2020,351.41,353.45,349.22,351.73,24205102,72.8,12.4,11.49,0.91,/,/
06/19/2020,354.635,356.56,345.15,349.72,66119038,69.3,12.19,11.63,0.56,/,/
06/22/2020,351.34,359.46,351.15,358.87,33861564,72.25,12.61,11.83,0.78,/,/
06/23/2020,364.0,372.38,362.2701,366.53,53259406,74.15,13.41,12.15,1.26,/,/
06/24/2020,365.0,368.79,358.52,360.06,48162999,71.11,13.37,12.39,0.98,/,/
06/25/2020,360.7,365.0,357.57,364.84,34380628,69.61,13.56,12.62,0.94,/,/
06/26/2020,364.41,365.32,353.02,353.63,51328982,60.65,12.66,12.63,0.03,/,/
06/29/2020,353.25,362.1736,351.28,361.78,32661952,59.68,12.46,12.6,-0.14,/,/
06/30/2020,360.08,365.98,360.0,364.8,35055916,56.95,12.41,12.56,-0.15,/,/
07/01/2020,365.12,367.36,363.91,364.11,27690454,70.13,12.17,12.48,-0.31,/,/
07/02/2020,367.85,370.47,363.64,364.11,28511095,68.87,11.84,12.35,-0.51,/,/
07/06/2020,370.0,375.78,369.87,373.85,29736108,71.25,12.23,12.33,-0.1,/,/
07/07/2020,375.41,378.62,372.23,372.69,28106823,65.93,12.3,12.32,-0.02,/,/
07/08/2020,376.72,381.5,376.36,381.37,29274467,70.44,12.91,12.44,0.47,/,/
07/09/2020,385.05,393.91,378.69,382.73,31418473,70.92,13.35,12.62,0.73,/,/
07/10/2020,381.34,383.92,378.8207,383.68,22564430,73.25,13.62,12.82,0.8,/,/
07/13/2020,389.06,399.82,381.03,381.91,47913185,67.55,13.54,12.96,0.58,/,/
07/14/2020,379.36,389.02,375.51,388.23,42751858,66.87,13.82,13.13,0.69,/,/
07/15/2020,395.96,396.99,385.96,390.9,38299588,75.49,14.09,13.32,0.77,/,/
07/16/2020,386.25,389.62,383.62,386.09,27645834,67.55,13.76,13.41,0.35,/,/
07/17/2020,387.95,388.59,383.36,385.31,23046755,81.62,13.29,13.39,-0.1,/,/
07/20/2020,385.665,394.0,384.25,393.43,22579507,81.61,13.42,13.4,0.02,/,/
07/21/2020,396.69,397.0,386.97,388.0,25911509,72.1,12.93,13.31,-0.38,/,/
