Date,Open,High,Low,Close,Volume,RSI,MACD,MACDSig,MACDHist,Split,Dividend
2020-05-27,820.86,827.71,785.0,820.23,11558468,63.38,34.34,39.03,-4.69,/,0.0
2020-05-28,813.51,824.75,801.69,805.81,7275819,58.45,31.65,37.55,-5.9,/,0.0
2020-05-29,808.75,835.0,804.21,835.0,11813068,55.47,31.5,36.34,-4.84,/,0.0
2020-06-01,858.0,899.0,854.1,898.1,15086239,72.0,36.06,36.28,-0.22,/,0.0
2020-06-02,894.7,908.66,871.0,881.56,13565696,67.02,37.91,36.61,1.3,/,0.0
2020-06-03,888.12,897.94,880.1,882.96,7949469,73.6,39.03,37.09,1.94,/,0.0
2020-06-04,889.88,895.75,858.44,864.38,8890713,65.18,37.98,37.27,0.71,/,0.0
2020-06-05,877.84,886.52,866.2,885.66,7811978,69.81,38.43,37.5,0.93,/,0.0
2020-06-08,919.0,950.0,909.16,949.92,14174727,75.42,43.46,38.69,4.77,/,0.0
2020-06-09,940.01,954.4399,923.931,940.67,11389453,74.42,46.17,40.19,5.98,/,0.0
2020-06-10,991.88,1027.48,982.5,1025.05,18563548,80.06,54.5,43.05,11.45,/,0.0
2020-06-11,990.2,1018.9599,972.0,972.84,15934620,68.68,56.25,45.69,10.56,/,0.0
2020-06-12,980.0,987.98,912.6,935.28,16763374,64.25,53.97,47.35,6.62,/,0.0
2020-06-15,917.79,998.84,908.5,990.9,15697433,68.33,56.01,49.08,6.93,/,0.0
2020-06-16,1011.85,1012.88,962.39,982.13,14051116,66.99,56.28,50.52,5.76,/,0.0
2020-06-17,987.71,1005.0,982.571,991.79,9890800,69.71,56.61,51.74,4.87,/,0.0
2020-06-18,1003.0,1019.2,994.4708,1003.96,9755748,68.58,57.2,52.83,4.37,/,0.0
2020-06-19,1012.78,1015.9699,991.34,1000.9,8679749,63.02,56.76,53.62,3.14,/,0.0
2020-06-22,999.95,1008.88,990.02,994.32,6362350,64.65,55.25,53.95,1.3,/,0.0
2020-06-23,998.88,1012.0,994.0101,1001.78,6365271,65.2,54.03,53.97,0.06,/,0.0
2020-06-24,994.11,1000.8846,953.1414,960.85,10959593,61.67,49.19,53.01,-3.82,/,0.0
